#  
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2003-08-05T12:27:17
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#   
#Coosys	J2000:	eq_FK5 2000 
#INFO	Ref=Vxml771

#RESOURCE=8004   
#Name: VIII/4   
#Title:	Fourth Cambridge Survey (4C) (Pilkington+ 1965; Gower+ 1967)   
#Table	VIII_4_radio4c:      
#Name: VIII/4/radio4c     
#Title:	Fourth Cambridge Radio Survey Data          
#Coosys	B1950:	eq_FK4 1950           
#Column	_RAJ2000	(A10)	       Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)          
#Column	_DEJ2000	(A8)	       Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)          
#Column	4C	(A8)	       The 4C number        (link)          
#Column	FluxDen	(F7)	       Flux density (1.0E-26 W/m2/Hz) at 178 MHz          
#Column	ErrClas1	(I2)	       Position and flux error class (in number)          
#Column	GLON	(F5)	       Galactic longitude, System II.          
#Column	GLAT	(F5)	       Galactic latitude, System II.          
#Column	ErrClas2	(A3)	       Position & flux error class (character form)          
#Column	com	(A8)	       Remarks          
#Column	recno	(I8)	       Record number within the original table (starting from 1)        (link)     

_RAJ2000	_DEJ2000	4C	FluxDen	ErrClas1	GLON	GLAT	ErrClas2	com	recno
09 10 54.9	-06 55.6	-06.20  	    3.5	 2	237.1	 26.8	b  	        	      20
09 19 45.1	-06 22.9	-06.21  	    4.4	 1	238.1	 28.9	a  	        	      21
09 22 49.9	-07 12.3	-06.22  	    6.5	 1	239.3	 29.0	a  	        	      22
09 32 50.4	-06 42.9	-06.23  	    2.1	 1	240.6	 31.3	a  	        	      23
09 57 00.9	-06 49.8	-06.24  	    2.2	 2	245.3	 35.8	b  	        	      24
10 14 39.1	-06 18.1	-06.25  	    2.1	 1	248.5	 39.5	a  	        	      25
10 55 51.6	-06 59.4	-06.26  	    3.7	 1	259.4	 45.9	a  	        	      26
11 02 45.9	-06 47.2	-06.27  	    2.6	 1	261.2	 47.1	a  	        	      27
11 26 25.0	-06 26.8	-06.28  	    2.7	 2	268.3	 50.6	b  	*       	      28
11 29 12.7	-07 02.3	-06.29  	    3.5	22	269.7	 50.5	bl 	        	      29
11 58 12.4	-06 53.0	-06.30  	    2.2	 1	280.3	 53.6	a  	        	      30
12 19 01.4	-07 01.7	-06.31  	    6.4	 1	288.8	 55.0	a  	        	      31
12 59 16.7	-06 25.1	-06.32  	    2.6	 2	306.5	 56.4	b  	        	      32
13 19 01.7	-06 48.7	-06.33  	    3.5	 1	315.1	 55.4	a  	        	      33
13 28 36.1	-06 53.6	-06.34  	    3.2	 1	319.1	 54.8	a  	        	      34
13 38 06.6	-06 21.8	-06.35  	   18.1	 1	323.3	 54.7	a  	        	      35
14 00 50.6	-06 44.2	-06.36  	    3.2	 1	331.8	 52.2	a  	        	      36
14 07 34.5	-06 25.5	-06.37  	    3.1	 1	334.5	 51.7	a  	        	      37
14 11 24.8	-06 39.5	-06.38  	    2.3	 2	335.6	 51.1	b  	        	      38
14 52 26.0	-07 00.4	-06.39  	    2.0	 2	348.0	 45.0	b  	        	      39
15 04 35.4	-06 45.3	-06.40  	    2.2	 1	351.4	 43.2	a  	        	      40
15 22 51.1	-06 20.8	-06.41  	    2.7	 2	356.1	 40.4	b  	        	      41
15 44 16.9	-06 46.3	-06.42  	    2.0	 2	  0.3	 36.2	b  	        	      42
15 56 12.9	-06 16.9	-06.43  	    2.5	 1	  3.1	 34.2	a  	        	      43
16 08 30.1	-06 31.5	-06.44  	    2.5	 2	  5.1	 31.7	b  	        	      44
16 09 53.6	-06 40.8	-06.45  	    2.9	 1	  5.2	 31.3	a  	        	      45
16 24 31.0	-06 37.2	-06.46  	    2.6	 2	  7.8	 28.4	b  	        	      46
16 27 26.6	-06 18.3	-06.47  	    3.0	22	  8.6	 28.0	bl 	        	      47
16 53 21.0	-06 17.4	-06.48  	    2.4	 2	 12.6	 22.7	b  	        	      48
17 11 43.5	-06 33.1	-06.49  	    3.4	 1	 14.9	 18.7	a  	        	      49
17 28 19.4	-06 56.3	-06.50  	    3.3	21	 16.8	 15.0	be 	        	      50
17 29 51.6	-06 36.5	-06.51  	    3.4	22	 17.3	 14.8	bl 	        	      51
17 40 57.9	-06 44.3	-06.52  	    2.7	22	 18.6	 12.4	bl 	        	      52
18 12 50.1	-06 43.7	-06.53  	    3.3	 1	 22.5	  5.4	a  	        	      53
18 19 47.5	-06 47.4	-06.54  	    2.1	 1	 23.3	  3.9	a  	        	      54
18 43 40.1	-06 00.5	-06.55  	    2.3	22	 26.7	 -1.0	bl 	        	      55
18 57 38.4	-06 25.4	-06.56  	    3.4	 2	 27.9	 -4.3	b  	        	      56
19 05 03.4	-06 17.4	-06.57  	    2.5	 2	 28.9	 -5.9	b  	        	      57
19 06 03.7	-06 32.9	-06.58  	    2.5	21	 28.7	 -6.2	be 	        	      58
19 09 49.7	-06 42.2	-06.59  	    2.4	 2	 29.0	 -7.1	b  	        	      59
19 12 21.5	-06 38.1	-06.60  	    5.8	 2	 29.4	 -7.7	b  	        	      60
19 23 39.7	-05 58.2	-06.61  	    3.3	 1	 31.2	 -9.9	a  	        	      61
19 24 58.8	-06 50.6	-06.62  	    2.3	 2	 30.6	-10.6	b  	        	      62
19 29 27.4	-06 27.4	-06.63  	    4.3	 1	 31.5	-11.4	a  	        	      63
19 52 49.8	-05 55.8	-06.64  	    2.1	 2	 34.6	-16.3	b  	        	      64
19 55 27.5	-06 40.0	-06.65  	    4.8	 2	 34.2	-17.3	b  	        	      65
20 33 11.7	-05 52.2	-06.66  	    3.0	 1	 39.5	-25.3	a  	        	      66
21 07 47.8	-06 39.6	-06.67  	    5.8	22	 43.3	-33.3	bl 	        	      67
21 27 16.4	-06 23.3	-06.68  	    4.4	22	 46.5	-37.4	bl 	        	      68
21 40 13.2	-06 41.9	-06.69  	    3.1	 1	 48.2	-40.3	a  	        	      69
21 44 33.9	-05 56.4	-06.70  	    3.7	 1	 49.7	-40.8	a  	        	      70
21 56 40.4	-05 56.1	-06.71  	    3.4	21	 51.9	-43.4	be 	        	      71
22 09 59.0	-06 39.1	-06.72  	    2.3	 1	 53.5	-46.6	a  	        	      72
22 35 35.6	-06 19.0	-06.73  	    2.7	 2	 59.5	-51.6	b  	        	      73
22 57 43.6	-05 50.5	-06.74  	    2.5	 2	 66.0	-55.6	b  	        	      74
23 30 04.2	-06 16.8	-06.75  	    2.2	 2	 76.4	-61.6	b  	        	      75
23 39 46.1	-05 55.1	-06.76  	    3.1	 1	 80.9	-62.8	a  	        	      76
00 06 00.6	-05 41.2	-05.01  	    2.5	 1	 94.1	-66.0	a  	        	      77
00 44 10.1	-05 12.0	-05.02  	    2.4	 2	118.1	-68.0	b  	        	      78
00 46 44.8	-05 15.9	-05.03  	    2.9	 2	119.8	-68.1	b  	        	      79
01 12 12.4	-04 53.8	-05.04  	    2.6	 1	136.4	-67.2	a  	        	      80
01 35 25.5	-05 10.0	-05.05  	    3.0	 1	150.4	-65.7	a  	        	      81
01 38 00.2	-05 26.9	-05.06  	    2.2	 1	152.1	-65.6	a  	        	      82
01 46 45.6	-05 39.2	-05.07  	    6.6	 1	156.9	-64.8	a  	        	      83
01 56 02.8	-04 59.6	-05.08  	    2.3	 1	160.6	-63.0	a  	        	      84
02 06 05.0	-04 55.5	-05.09  	    3.8	 2	164.9	-61.6	b  	        	      85
02 07 56.8	-05 28.0	-05.10  	    2.3	 1	166.4	-61.7	a  	        	      86
02 19 27.7	-05 32.9	-05.11  	    2.8	 1	171.0	-59.9	a  	        	      87
02 44 55.4	-05 36.3	-05.12  	    2.2	 2	179.5	-55.5	b  	        	      88
02 59 42.5	-05 20.8	-05.13  	    2.2	 2	183.2	-52.5	b  	        	      89
03 34 38.2	-05 32.1	-05.14  	    6.2	 1	191.3	-45.6	a  	        	      90
03 54 04.2	-05 19.9	-05.15  	    4.2	 1	194.7	-41.4	a  	        	      91
04 07 52.6	-05 46.4	-05.16  	    3.4	 1	197.5	-38.7	a  	        	      92
04 17 16.2	-05 51.1	-05.17  	    8.0	 1	199.1	-36.7	a  	        	      93
04 20 52.4	-05 33.8	-05.18  	    5.0	 1	199.3	-35.8	a  	        	      94
04 35 37.9	-05 37.4	-05.19  	    2.4	22	201.5	-32.6	bl 	        	      95
04 48 20.3	-05 36.2	-05.20  	    2.1	 2	203.3	-29.8	b  	        	      96
05 35 31.2	-05 08.4	-05.21  	   10.6	 1	208.8	-19.2	a  	3C145   	      97
06 17 22.8	-05 23.6	-05.22  	    2.0	 2	213.9	-10.0	b  	        	      98
06 27 09.3	-05 49.9	-05.23  	   78.0	15	215.4	 -8.0	a  	3C161*  	      99
06 48 17.3	-05 39.2	-05.24  	    5.2	22	217.6	 -3.3	bl 	        	     100
07 03 59.0	-05 07.4	-05.25  	    2.3	 1	218.9	  0.4	a  	        	     101
07 06 06.8	-05 19.4	-05.26  	    2.4	 1	219.3	  0.8	a  	        	     102
07 34 20.1	-05 33.4	-05.27  	    4.1	 1	222.8	  6.9	a  	        	     103
08 08 07.6	-05 17.5	-05.28  	    3.1	 1	226.7	 14.4	a  	        	     104
08 12 03.5	-05 32.8	-05.29  	   10.0	 2	227.5	 15.1	b  	        	     105
08 21 45.7	-05 54.3	-05.30  	    2.2	21	229.1	 17.0	be 	        	     106
08 26 58.4	-06 08.8	-05.31  	    2.3	 1	230.0	 18.0	a  	        	     107
08 32 41.9	-05 29.4	-05.32  	    7.0	 1	230.2	 19.6	a  	        	     108
08 34 40.9	-05 39.3	-05.33  	    5.7	22	230.6	 19.9	bl 	        	     109
08 49 27.2	-05 25.5	-05.34  	    2.7	 1	232.5	 23.2	a  	        	     110
09 16 41.8	-05 19.5	-05.35  	    2.7	 1	236.6	 28.8	a  	        	     111
09 19 13.8	-05 17.5	-05.36  	    2.5	 1	237.0	 29.4	a  	        	     112
09 26 58.5	-06 05.7	-05.37  	    2.0	 2	239.0	 30.5	b  	        	     113
09 47 26.8	-05 36.9	-05.38  	    2.1	 1	242.3	 34.8	a  	        	     114
09 51 39.9	-05 55.8	-05.39  	    2.8	22	243.4	 35.4	bl 	        	     115
09 59 32.1	-05 43.2	-05.40  	    4.9	 2	244.7	 37.0	b  	        	     116
10 21 19.0	-05 27.9	-05.41  	    2.2	 1	249.2	 41.2	a  	        	     117
10 29 27.8	-05 42.5	-05.42  	    3.7	 1	251.3	 42.5	a  	        	     118
10 30 30.1	-06 05.4	-05.43  	    2.0	22	251.9	 42.4	bl 	        	     119
10 38 08.3	-05 59.3	-05.44  	    3.8	 1	253.7	 43.8	a  	        	     120
10 47 22.7	-06 13.4	-05.45  	    2.0	21	256.4	 45.1	be 	        	     121
11 07 16.7	-05 17.9	-05.46  	    5.0	 1	261.2	 48.9	a  	        	     122
11 19 18.0	-05 25.4	-05.47  	    4.5	 1	265.1	 50.6	a  	        	     123
12 01 38.8	-06 12.6	-05.48  	    3.9	 1	281.2	 54.6	a  	        	     124
12 04 16.0	-06 06.5	-05.49  	    2.0	 2	282.3	 54.9	b  	        	     125
12 22 42.4	-06 13.9	-05.50  	    2.2	 1	290.1	 55.9	a  	        	     126
12 37 23.8	-05 17.7	-05.51  	    2.1	 1	296.4	 57.4	a  	        	     127
12 42 35.4	-06 15.2	-05.52  	    4.6	 2	298.9	 56.5	b  	        	     128
12 48 50.7	-06 11.2	-05.53  	    4.1	 1	301.8	 56.7	a  	        	     129
12 53 40.4	-05 41.4	-05.54  	    3.0	 2	304.0	 57.2	b  	        	     130
12 56 09.8	-05 44.8	-05.55  	   20.9	 1	305.1	 57.1	a  	3C279   	     131
13 08 41.8	-05 23.3	-05.56  	    3.7	21	310.9	 57.2	be 	        	     132
13 21 56.2	-06 12.6	-05.57  	    3.6	 1	316.5	 55.9	a  	        	     133
13 36 17.8	-05 29.3	-05.58  	    3.4	 2	323.0	 55.6	b  	        	     134
13 51 42.1	-05 37.2	-05.59  	    4.7	 1	329.1	 54.2	a  	        	     135
14 13 47.3	-05 55.7	-05.60  	    9.3	 1	337.0	 51.4	a  	        	     136
14 55 09.0	-05 39.5	-05.61  	    7.7	 1	349.9	 45.6	a  	        	     137
14 56 40.4	-06 10.3	-05.62  	    5.7	 2	349.9	 45.0	b  	        	     138
15 06 51.6	-06 03.5	-05.63  	    2.6	 1	352.6	 43.4	a  	        	     139
15 10 52.6	-05 39.2	-05.64  	   10.5	 1	354.0	 43.0	a  	        	     140
15 15 32.9	-05 26.9	-05.65  	    5.9	 1	355.3	 42.3	a  	        	     141
15 32 59.4	-05 50.8	-05.66  	    2.2	 2	358.8	 38.9	b  	        	     142
15 38 04.8	-05 35.0	-05.67  	    2.2	 1	  0.2	 38.1	a  	        	     143
15 40 29.2	-05 11.0	-05.68  	    5.0	 1	  1.1	 37.9	a  	        	     144
15 45 12.7	-05 20.6	-05.69  	    2.7	 2	  1.9	 36.9	b  	        	     145
16 59 07.3	-05 41.1	-05.70  	    2.4	21	 14.0	 21.8	be 	        	     146
17 36 11.3	-05 15.3	-05.71  	    2.0	 1	 19.3	 14.1	a  	        	     147
17 44 18.3	-05 09.9	-05.72  	    2.1	 1	 20.4	 12.4	a  	        	     148
17 56 31.2	-05 14.6	-05.73  	    2.3	 1	 21.9	  9.7	a  	        	     149
17 58 35.1	-05 40.8	-05.74  	    2.2	 2	 21.7	  9.1	b  	        	     150
18 15 42.9	-05 29.0	-05.75  	    2.2	22	 23.9	  5.4	bl 	        	     151
18 39 46.6	-05 42.6	-05.76  	    2.9	22	 26.5	  0.0	bl 	        	     152
18 50 52.7	-05 38.8	-05.77  	    2.1	 2	 27.8	 -2.4	b  	        	     153
19 10 08.4	-05 32.2	-05.78  	    2.3	 1	 30.1	 -6.7	a  	        	     154
19 11 55.3	-05 38.5	-05.79  	    5.0	 2	 30.2	 -7.1	b  	        	     155
19 20 15.1	-05 49.5	-05.80  	    2.8	 1	 31.0	 -9.0	a  	        	     156
19 41 22.2	-05 26.4	-05.81  	    2.0	 2	 33.7	-13.6	b  	        	     157
19 45 16.8	-05 13.0	-05.82  	    5.1	 1	 34.4	-14.3	a  	        	     158
20 21 02.2	-05 24.9	-05.83  	    2.1	 1	 38.5	-22.4	a  	        	     159
20 24 35.4	-05 16.8	-05.84  	    5.2	 1	 39.0	-23.1	a  	        	     160
20 41 51.9	-05 39.0	-05.85  	    4.1	 1	 40.8	-27.1	a  	        	     161
21 04 38.5	-05 04.7	-05.86  	    2.1	 1	 44.5	-31.8	a  	        	     162
21 18 24.4	-05 14.0	-05.87  	    3.2	 1	 46.4	-34.9	a  	        	     163
21 28 46.6	-05 30.2	-05.88  	    3.2	 2	 47.7	-37.2	b  	        	     164
21 48 32.1	-04 58.0	-05.89  	    2.3	21	 51.5	-41.2	be 	        	     165
21 51 35.0	-05 30.6	-05.90  	    2.0	 2	 51.5	-42.1	b  	        	     166
22 08 45.9	-05 28.0	-05.91  	    2.0	 1	 54.7	-45.7	a  	        	     167
22 25 48.2	-04 53.9	-05.92  	   17.3	 1	 59.0	-48.8	a  	3C446   	     168
22 28 26.9	-05 15.2	-05.93  	    3.2	 2	 59.2	-49.6	b  	        	     169
23 04 15.5	-05 11.8	-05.94  	    5.1	22	 68.8	-56.4	bl 	        	     170
23 06 15.8	-04 57.5	-05.95  	    4.1	21	 69.7	-56.5	be 	        	     171
23 25 19.6	-04 55.8	-05.96  	    8.5	 1	 76.4	-59.8	a  	*       	     172
23 28 12.0	-04 55.5	-05.97  	    8.3	 1	 77.5	-60.2	a  	        	     173
23 30 02.4	-05 26.3	-05.98  	    2.6	 2	 77.5	-60.9	b  	        	     174
00 19 32.4	-04 35.5	-04.01  	    4.2	 1	102.9	-66.2	a  	        	     175
00 21 07.5	-04 20.5	-04.02  	    2.6	21	104.0	-66.1	be 	        	     176
01 16 45.6	-04 22.1	-04.03  	    2.0	 2	138.9	-66.5	b  	        	     177
01 22 28.8	-04 20.4	-04.04  	    5.0	 1	142.3	-66.0	a  	        	     178
01 24 35.9	-04 03.7	-04.05  	    3.1	 1	143.3	-65.6	a  	        	     179
02 35 07.1	-04 03.8	-04.06  	    6.1	 1	174.5	-56.2	a  	        	     180
02 48 13.0	-04 16.1	-04.07  	    2.3	 1	178.7	-54.0	a  	        	     181
03 06 38.0	-03 50.0	-04.08  	    2.0	22	183.1	-50.2	bl 	        	     182
03 11 32.3	-04 37.0	-04.09  	    2.3	 1	185.2	-49.7	a  	        	     183
03 17 05.8	-04 16.5	-04.10  	    2.5	 1	186.1	-48.4	a  	        	     184
03 41 07.8	-04 33.4	-04.11  	    2.8	21	191.4	-43.7	be 	        	     185
03 42 08.9	-04 32.8	-04.12  	    2.8	 2	191.6	-43.5	b  	        	     186
03 48 43.6	-04 14.2	-04.13  	    3.6	 1	192.5	-42.0	a  	        	     187
04 26 26.6	-03 58.2	-04.14  	    2.4	 1	198.5	-33.8	a  	        	     188
04 43 25.3	-04 24.2	-04.15  	    2.0	 2	201.4	-30.4	b  	        	     189
04 50 58.3	-04 35.0	-04.16  	    5.5	 1	202.6	-28.8	a  	        	     190
04 59 00.2	-04 22.9	-04.17  	    3.1	 1	203.5	-26.9	a  	        	     191
05 27 30.6	-04 35.5	-04.18  	    2.6	 1	207.3	-20.7	a  	        	     192
05 47 26.1	-04 17.9	-04.19  	    2.2	 1	209.4	-16.2	a  	        	     193
05 51 46.7	-04 26.7	-04.20  	    2.9	22	210.1	-15.3	bl 	        	     194
06 20 33.2	-04 03.4	-04.21  	    2.2	 1	213.0	 -8.7	a  	        	     195
06 35 52.1	-04 15.4	-04.22  	    2.5	 1	215.0	 -5.4	a  	        	     196
06 42 40.2	-04 29.7	-04.23  	    2.3	 2	215.9	 -4.0	b  	        	     197
06 44 42.6	-04 53.2	-04.24  	    4.2	22	216.5	 -3.7	bl 	        	     198
07 13 20.9	-04 27.2	-04.25  	    2.6	 1	219.4	  2.8	a  	        	     199
08 22 35.8	-04 57.9	-04.26  	    4.2	 1	228.3	 17.7	a  	        	     200
08 26 02.8	-04 52.2	-04.27  	    2.7	 2	228.7	 18.5	b  	        	     201
08 59 50.1	-04 29.8	-04.28  	    2.2	22	233.2	 25.8	bl 	        	     202
09 02 25.7	-05 08.5	-04.29  	    7.2	 1	234.2	 26.0	a  	        	     203
09 05 07.2	-04 22.9	-04.30  	    3.2	22	233.9	 27.0	bl 	        	     204
09 36 59.7	-04 19.2	-04.31  	    4.3	 1	239.1	 33.5	a  	        	     205
09 39 06.5	-04 15.5	-04.32  	    2.3	21	239.4	 34.0	be 	        	     206
09 42 59.8	-04 26.9	-04.33  	    2.5	 1	240.3	 34.6	a  	        	     207
10 03 31.5	-04 34.1	-04.34  	    2.6	 1	244.4	 38.5	a  	        	     208
10 25 51.8	-04 57.8	-04.35  	    2.0	 1	249.8	 42.4	a  	        	     209
10 38 48.3	-04 25.4	-04.36  	    4.2	 1	252.4	 45.0	a  	        	     210
11 03 33.1	-05 07.8	-04.37  	    2.5	 1	259.9	 48.5	a  	        	     211
11 51 08.8	-05 08.5	-04.38  	    2.0	 2	276.4	 54.6	b  	        	     212
11 53 06.9	-04 43.7	-04.39  	    3.4	22	276.9	 55.2	bl 	        	     213
12 04 01.4	-04 28.6	-04.40  	    8.3	 1	281.2	 56.4	a  	        	     214
12 14 31.9	-04 24.5	-04.41  	    2.3	 2	285.8	 57.2	b  	        	     215
12 18 40.5	-05 00.2	-04.42  	    4.1	 2	287.9	 56.9	b  	        	     216
12 42 18.8	-04 42.7	-04.43  	   14.2	 1	298.6	 58.1	a  	3C275   	     217
12 50 33.4	-04 24.6	-04.44  	    2.9	 1	302.5	 58.5	a  	        	     218
13 11 09.3	-04 59.3	-04.45  	    2.7	21	312.1	 57.5	be 	        	     219
13 14 47.4	-04 16.8	-04.46  	    2.2	 1	314.0	 58.1	a  	        	     220
14 01 28.1	-04 28.4	-04.47  	    2.2	21	333.7	 54.2	be 	        	     221
14 03 33.6	-05 02.0	-04.48  	    5.1	22	334.1	 53.4	bl 	        	     222
14 11 21.5	-04 39.0	-04.49  	    2.1	 1	337.2	 52.8	a  	        	     223
14 27 43.1	-04 42.0	-04.50  	    2.3	 1	342.7	 50.6	a  	        	     224
14 35 48.1	-05 12.9	-04.51  	    2.6	 2	344.8	 49.0	b  	        	     225
14 37 32.4	-04 47.2	-04.52  	    2.9	 2	345.7	 49.1	b  	        	     226
14 55 00.1	-04 24.6	-04.53  	   11.4	 2	351.1	 46.6	b  	3C306.1 	     227
15 00 15.5	-04 33.7	-04.54  	    2.2	 1	352.3	 45.6	a  	        	     228
15 22 44.7	-05 00.4	-04.55  	    6.5	 1	357.4	 41.3	a  	        	     229
15 27 34.9	-04 24.1	-04.56  	    4.0	 1	359.1	 40.9	a  	        	     230
15 50 26.6	-05 02.3	-04.57  	    4.4	 2	  3.2	 36.1	b  	        	     231
15 55 21.7	-04 25.9	-04.58  	    2.2	 1	  4.7	 35.5	a  	        	     232
16 20 00.4	-04 12.6	-04.59  	    4.5	 2	  9.3	 30.7	b  	        	     233
16 24 13.0	-04 54.9	-04.60  	    2.5	 2	  9.3	 29.5	b  	        	     234
16 42 15.5	-04 41.2	-04.61  	    2.7	21	 12.4	 25.9	be 	        	     235
16 45 50.7	-04 23.2	-04.62  	    2.7	22	 13.2	 25.3	bl 	        	     236
17 04 10.0	-04 34.6	-04.63  	    3.7	 1	 15.7	 21.3	a  	        	     237
17 25 04.6	-04 23.9	-04.64  	    2.3	 2	 18.7	 17.0	b  	        	     238
17 30 32.2	-04 20.2	-04.65  	    3.9	 1	 19.4	 15.8	a  	        	     239
17 41 18.4	-05 00.7	-04.66  	    4.4	 1	 20.2	 13.1	a  	        	     240
18 20 13.9	-04 20.4	-04.67  	    4.6	 1	 25.5	  4.9	a  	        	     241
18 35 10.1	-04 22.3	-04.68  	    7.3	 1	 27.2	  1.6	a  	        	     242
18 36 39.6	-04 17.8	-04.69  	    2.5	 2	 27.4	  1.3	b  	        	     243
18 38 47.0	-04 01.8	-04.70  	    4.2	 2	 27.9	  1.0	b  	        	     244
18 41 17.3	-04 54.8	-04.71  	   11.9	 1	 27.4	  0.0	a  	3C307   	     245
19 05 24.8	-04 32.5	-04.72  	    2.6	 1	 30.5	 -5.2	a  	        	     246
19 28 22.7	-04 51.7	-04.73  	    2.2	 1	 32.8	-10.4	a  	        	     247
19 35 48.9	-04 14.2	-04.74  	    2.9	21	 34.2	-11.8	be 	        	     248
20 06 25.2	-04 05.3	-04.75  	    3.2	22	 37.9	-18.5	bl 	        	     249
20 08 23.6	-04 18.1	-04.76  	    6.5	 1	 38.0	-19.1	a  	        	     250
20 19 17.2	-04 48.0	-04.77  	    2.2	 1	 38.8	-21.7	a  	        	     251
20 23 39.1	-03 52.7	-04.78  	    2.1	 1	 40.3	-22.2	a  	        	     252
20 46 29.1	-04 47.9	-04.79  	    3.6	 1	 42.3	-27.7	a  	        	     253
20 55 48.2	-04 13.8	-04.80  	    2.2	 1	 44.1	-29.5	a  	        	     254
21 10 00.7	-04 46.0	-04.81  	    3.1	 1	 45.6	-32.8	a  	        	     255
21 27 37.3	-04 20.6	-04.82  	    2.0	21	 48.7	-36.4	be 	        	     256
21 59 23.3	-04 14.1	-04.83  	    4.4	 1	 54.3	-43.1	a  	        	     257
22 13 11.7	-04 20.3	-04.84  	    3.0	 1	 57.0	-45.9	a  	        	     258
22 39 32.6	-04 25.2	-04.85  	    9.3	 1	 62.9	-51.2	a  	        	     259
22 59 57.0	-04 29.4	-04.86  	    2.9	 1	 68.4	-55.1	a  	        	     260
23 10 53.1	-04 36.9	-04.87  	    3.2	 1	 71.7	-57.1	a  	        	     261
23 34 54.9	-04 40.8	-04.88  	    3.9	 1	 80.5	-61.1	a  	        	     262
23 38 59.2	-04 14.3	-04.89  	    5.4	 1	 82.7	-61.3	a  	        	     263
00 01 24.8	-04 33.3	-04.90  	    2.2	 2	 92.9	-64.5	b  	        	     264
00 23 36.9	-02 57.9	-03.01  	    2.2	 1	106.3	-64.9	a  	        	     265
00 49 45.0	-02 47.3	-03.02  	    6.7	 1	121.9	-65.7	a  	        	     266
00 54 08.2	-03 36.1	-03.03  	    9.8	 1	124.6	-66.5	a  	        	     267
01 43 52.1	-03 07.9	-03.04  	    3.5	 2	152.8	-62.9	b  	        	     268
01 53 23.2	-03 36.3	-03.05  	    7.6	 1	157.8	-62.2	a  	        	     269
02 10 13.4	-03 43.8	-03.06  	    2.9	21	165.2	-60.0	be 	        	     270
